Patient,RV_Dice,MYO_Dice,LV_Dice,Mean_Dice
patient101_frame01.h5,0.9382076375994811,0.8597009238156299,0.9676021116439232,0.921836891019678
patient101_frame14.h5,0.9013206161222815,0.8873493403352615,0.9641714650540489,0.9176138071705306
patient102_frame01.h5,0.9464950536170094,0.8901113644317574,0.955614973134276,0.9307404637276809
patient102_frame13.h5,0.8530499073814579,0.9015455761346542,0.8861596594774872,0.8802517143311999
patient103_frame01.h5,0.8939917510986521,0.8966030818069197,0.9664343037334406,0.9190097122130041
patient103_frame11.h5,0.7451388886301601,0.8619357569528531,0.9507642798913303,0.8526129751581145
patient104_frame01.h5,0.8355798496282018,0.8627686156490371,0.9482390315523778,0.8821958322765387
patient104_frame11.h5,0.786630392385031,0.8441533788513594,0.6602959307459014,0.7636932339940973
patient105_frame01.h5,0.9348960560411587,0.8627371547591157,0.9149735489599805,0.9042022532534183
patient105_frame10.h5,0.8770006575582107,0.9187858900158524,0.9015300114156415,0.8991055196632348
patient106_frame01.h5,0.9545133160178272,0.8098002260980173,0.9517923361819008,0.9053686260992485
patient106_frame13.h5,0.9334407488037196,0.8025525524923008,0.9462601625631601,0.8940844879530602
patient107_frame01.h5,0.7183348095129661,0.7719145223755,0.955516461362433,0.8152552644169663
patient107_frame10.h5,0.6924354855806362,0.8030690536191405,0.9217912329041641,0.8057652573679803
patient108_frame01.h5,0.9464743980846587,0.8717703348686417,0.9552797614258282,0.924508164793043
patient108_frame09.h5,0.8332358102529284,0.8409703503430487,0.650239058238235,0.7748150729447373
patient109_frame01.h5,0.9563020113555372,0.8614333385617803,0.9751106457442958,0.9309486652205378
patient109_frame10.h5,0.9312243467348471,0.8987812127750608,0.9190869353162615,0.9163641649420565
patient110_frame01.h5,0.9624141021235486,0.8411354117411693,0.9420572915900018,0.9152022684849066
patient110_frame11.h5,0.9245241256170291,0.892265193297671,0.9109947641811054,0.9092613610319352
patient111_frame01.h5,0.8620285322589379,0.882931429281764,0.9090199140073194,0.8846599585160071
patient111_frame07.h5,0.8961636826352523,0.9427302743400472,0.9118501772967872,0.9169147114240289
patient112_frame01.h5,0.9125780099998692,0.8397948973962109,0.9480925050241352,0.900155137473405
patient112_frame12.h5,0.9227113905069585,0.8428940242526985,0.907290448272336,0.890965287677331
patient113_frame01.h5,0.9534071806838754,0.8415713670107866,0.9663329834105755,0.9204371770350792
patient113_frame08.h5,0.847710748618084,0.8488857938349197,0.9504553171492374,0.8823506198674137
patient114_frame01.h5,0.8195944165907562,0.8673587081683161,0.9267389162196359,0.8712306803262361
patient114_frame11.h5,0.671712607244497,0.8272209779575583,0.7902978922889087,0.7630771591636547
patient115_frame01.h5,0.9418164364064947,0.8669919919377508,0.9660805639926882,0.9249629974456445
patient115_frame13.h5,0.9234675370943537,0.8803438135670468,0.9401930133926741,0.9146681213513581
patient116_frame01.h5,0.9214056455500448,0.8957654722463898,0.9592185939712521,0.9254632372558955
patient116_frame09.h5,0.6913980986108513,0.8937266869519345,0.9161521607416545,0.8337589821014801
patient117_frame01.h5,0.868218161019838,0.8144137747042507,0.9483262235285198,0.8769860530842029
patient117_frame13.h5,0.8649820698136117,0.8451735978311646,0.9103959803532002,0.8735172159993255
patient118_frame01.h5,0.9569199252300464,0.9059109079878704,0.967071057132516,0.943300630116811
patient118_frame10.h5,0.7628991136623893,0.9078799867518708,0.952835820814257,0.8745383070761723
patient119_frame01.h5,0.9435169585108573,0.8359914542238788,0.9533369047014595,0.9109484391453986
patient119_frame09.h5,0.9079248444710456,0.8838330280109981,0.9009680888561514,0.897575320446065
patient120_frame01.h5,0.8041561711580358,0.8591797622951951,0.9518123666797556,0.8717161000443289
patient120_frame08.h5,0.27288732382355313,0.822231896617165,0.8906124092575934,0.6619105432327705
patient121_frame01.h5,0.9642542700840199,0.8589346429271677,0.9585468094520236,0.9272452408210704
patient121_frame10.h5,0.9415927005808706,0.896887836740452,0.9019729686341504,0.9134845019851577
patient122_frame01.h5,0.7751115600930275,0.8229721728346375,0.9340434247876263,0.8440423859050972
patient122_frame06.h5,0.8172678887023553,0.8560460652107911,0.9240878436264863,0.8658005991798777
patient123_frame01.h5,0.9525566294582338,0.8441381810822252,0.8956614101727541,0.897452073571071
patient123_frame11.h5,0.8464236692319012,0.9016558674656835,0.7895697520757315,0.8458830962577721
patient124_frame01.h5,0.5307468859108181,0.8360960620669485,0.9525028086083978,0.7731152521953882
patient124_frame07.h5,0.4960349462198913,0.8615218951593137,0.9164132610756943,0.757990034151633
patient125_frame01.h5,0.9252878857385141,0.8440376792526205,0.9600935915455578,0.9098063855122308
patient125_frame07.h5,0.8879091062750603,0.8682288827864725,0.8986324077166488,0.8849234655927272
patient126_frame01.h5,0.46405639306029955,0.7364536802547627,0.9392271336703237,0.7132457356617953
patient126_frame07.h5,0.2174904942815423,0.7495761443353369,0.8346890940528485,0.6005852442232426
patient127_frame01.h5,0.8909644243731247,0.8440958995812639,0.9670124964175051,0.9006909401239644
patient127_frame07.h5,0.8509188403940423,0.8893730810691605,0.9508215106291246,0.8970378106974425
patient128_frame01.h5,0.9494650983539532,0.8773750878890416,0.9600134408064508,0.9289512090164819
patient128_frame11.h5,0.8959884200893312,0.8578353403879546,0.8292422624293967,0.8610220076355608
